iter	Passed	Remaining
610	4592	2923
611	4599	2915
612	4605	2907
613	4612	2899
614	4620	2892
615	4627	2884
616	4634	2877
617	4641	2868
618	4648	2860
619	4654	2853
620	4661	2844
621	4668	2836
622	4675	2829
623	4682	2821
624	4690	2814
625	4699	2807
626	4708	2801
627	4718	2794
628	4724	2786
629	4732	2779
630	4739	2771
631	4746	2763
632	4753	2755
633	4760	2747
634	4766	2739
635	4772	2731
636	4780	2724
637	4787	2716
638	4794	2708
639	4801	2700
640	4807	2692
641	4814	2684
642	4821	2676
643	4828	2668
644	4834	2660
645	4841	2653
646	4847	2645
647	4855	2637
648	4862	2629
649	4869	2621
650	4875	2613
651	4882	2606
652	4890	2598
653	4905	2595
654	4913	2587
655	4921	2580
656	4928	2572
657	4935	2565
658	4942	2557
659	4948	2549
660	4955	2541
661	4961	2532
662	4967	2524
663	4973	2516
664	4981	2509
665	4987	2501
666	4994	2493
667	5000	2485
668	5009	2478
669	5015	2470
670	5023	2462
671	5029	2455
672	5036	2447
673	5040	2438
674	5047	2430
675	5054	2422
676	5061	2414
677	5068	2407
678	5075	2399
679	5081	2391
680	5089	2384
681	5096	2376
682	5103	2368
683	5113	2362
684	5123	2355
685	5130	2348
686	5137	2340
687	5144	2333
688	5151	2325
689	5157	2317
690	5164	2309
691	5171	2301
692	5178	2293
693	5185	2286
694	5192	2278
695	5199	2270
696	5205	2263
697	5212	2255
698	5219	2247
699	5225	2239
700	5233	2232
701	5239	2224
702	5246	2216
703	5253	2208
704	5259	2200
705	5267	2193
706	5273	2185
707	5280	2177
708	5288	2170
709	5296	2163
710	5304	2156
711	5314	2149
712	5320	2141
713	5327	2134
714	5334	2126
715	5341	2118
716	5347	2110
717	5354	2103
718	5361	2095
719	5368	2087
720	5375	2080
721	5382	2072
722	5388	2064
723	5393	2055
724	5400	2048
725	5407	2040
726	5415	2033
727	5421	2025
728	5428	2017
729	5434	2010
730	5442	2002
731	5449	1995
732	5455	1987
733	5462	1979
734	5469	1971
735	5475	1964
736	5482	1956
737	5492	1949
738	5500	1942
739	5509	1935
740	5517	1928
741	5524	1920
742	5531	1913
743	5539	1905
744	5546	1898
745	5553	1890
746	5559	1883
747	5567	1875
748	5573	1867
749	5580	1860
750	5587	1852
751	5593	1844
752	5600	1837
753	5607	1829
754	5614	1821
755	5620	1814
756	5629	1806
757	5642	1801
758	5654	1795
759	5665	1789
760	5672	1781
761	5680	1774
762	5687	1766
763	5696	1759
764	5703	1751
765	5710	1744
766	5719	1737
767	5726	1729
768	5734	1722
769	5741	1714
770	5748	1707
771	5755	1699
772	5762	1692
773	5770	1684
774	5777	1677
775	5784	1669
776	5791	1662
777	5798	1654
778	5804	1646
779	5812	1639
780	5819	1631
781	5826	1624
782	5833	1616
783	5839	1608
784	5846	1601
785	5853	1593
786	5860	1586
787	5866	1578
788	5873	1570
789	5881	1563
790	5887	1555
791	5896	1548
792	5903	1541
793	5911	1533
794	5919	1526
795	5927	1519
796	5934	1511
797	5941	1503
798	5947	1496
799	5955	1488
800	5961	1481
801	5969	1473
802	5977	1466
803	5983	1458
804	5990	1451
805	5997	1443
806	6004	1436
807	6011	1428
808	6018	1420
809	6025	1413
810	6031	1405
811	6038	1398
812	6045	1390
813	6051	1382
814	6058	1375
815	6065	1367
816	6074	1360
817	6084	1353
818	6095	1347
819	6105	1340
820	6115	1333
821	6125	1326
822	6135	1319
823	6145	1312
824	6155	1305
825	6164	1298
826	6176	1292
827	6187	1285
828	6198	1278
829	6208	1271
830	6215	1264
831	6225	1256
832	6233	1249
833	6239	1242
834	6246	1234
835	6253	1226
836	6259	1219
837	6266	1211
838	6274	1204
839	6281	1196
840	6289	1189
841	6301	1182
842	6310	1175
843	6317	1167
844	6324	1160
845	6332	1152
846	6336	1144
847	6343	1136
848	6349	1129
849	6356	1121
850	6363	1114
851	6369	1106
852	6377	1098
853	6384	1091
854	6391	1083
855	6398	1076
856	6404	1068
857	6412	1061
858	6419	1053
859	6425	1046
860	6432	1038
861	6438	1030
862	6445	1023
863	6452	1015
864	6459	1008
865	6466	1000
866	6474	993
867	6481	985
868	6493	978
869	6501	971
870	6508	964
871	6515	956
872	6522	948
873	6529	941
874	6536	933
875	6544	926
876	6550	918
877	6557	911
878	6565	903
879	6572	896
880	6578	888
881	6585	881
882	6592	873
883	6599	865
884	6606	858
885	6613	850
886	6619	843
887	6626	835
888	6634	828
889	6640	820
890	6647	813
891	6654	805
892	6662	798
893	6668	790
894	6677	783
895	6691	776
896	6698	769
897	6706	761
898	6712	754
899	6720	746
900	6727	739
901	6734	731
902	6740	724
903	6747	716
904	6754	709
905	6761	701
906	6768	693
907	6774	686
908	6782	678
909	6788	671
910	6795	663
911	6802	656
912	6809	648
913	6815	641
914	6823	633
915	6829	626
916	6836	618
917	6843	611
918	6850	603
919	6856	596
920	6863	588
921	6870	581
922	6879	573
923	6886	566
924	6894	559
925	6903	551
926	6911	544
927	6918	536
928	6925	529
929	6932	521
930	6938	514
931	6945	506
932	6954	499
933	6961	491
934	6967	484
935	6974	476
936	6980	469
937	6987	461
938	6994	454
939	7001	446
940	7008	439
941	7015	431
942	7022	424
943	7029	416
944	7036	409
945	7042	402
946	7049	394
947	7056	387
948	7063	379
949	7070	372
950	7076	364
951	7085	357
952	7094	349
953	7101	342
954	7108	334
955	7115	327
956	7122	320
957	7129	312
958	7138	305
959	7144	297
960	7151	290
961	7158	282
962	7165	275
963	7171	267
964	7178	260
965	7185	252
966	7192	245
967	7199	237
968	7205	230
969	7212	223
970	7219	215
971	7225	208
972	7232	200
973	7239	193
974	7246	185
975	7254	178
976	7260	170
977	7267	163
978	7275	156
979	7282	148
980	7294	141
981	7302	133
982	7310	126
983	7317	118
984	7324	111
985	7330	104
986	7337	96
987	7344	89
988	7351	81
989	7358	74
990	7365	66
991	7372	59
992	7379	52
993	7385	44
994	7392	37
995	7399	29
996	7406	22
997	7413	14
998	7420	7
999	7426	0
